symbol,name,exchange,sector,industry,currency
INTC.US,Intel,NYSE/NASDAQ,Information Technology,Semiconductors,USD
ICE.US,Intercontinental Exchange,NYSE/NASDAQ,Financials,Financial Exchanges & Data,USD
IFF.US,International Flavors & Fragrances,NYSE/NASDAQ,Materials,Specialty Chemicals,USD
IP.US,International Paper,NYSE/NASDAQ,Materials,Paper & Plastic Packaging Products & Materials,USD
IPG.US,Interpublic Group of Companies (The),NYSE/NASDAQ,Communication Services,Advertising,USD
INTU.US,Intuit,NYSE/NASDAQ,Information Technology,Application Software,USD
ISRG.US,Intuitive Surgical,NYSE/NASDAQ,Health Care,Health Care Equipment,USD
IVZ.US,Invesco,NYSE/NASDAQ,Financials,Asset Management & Custody Banks,USD
INVH.US,Invitation Homes,NYSE/NASDAQ,Real Estate,Single-Family Residential REITs,USD
IQV.US,IQVIA,NYSE/NASDAQ,Health Care,Life Sciences Tools & Services,USD
IRM.US,Iron Mountain,NYSE/NASDAQ,Real Estate,Other Specialized REITs,USD
JBHT.US,J.B. Hunt,NYSE/NASDAQ,Industrials,Cargo Ground Transportation,USD
JBL.US,Jabil,NYSE/NASDAQ,Information Technology,Electronic Manufacturing Services,USD
JKHY.US,Jack Henry & Associates,NYSE/NASDAQ,Financials,Transaction & Payment Processing Services,USD
J.US,Jacobs Solutions,NYSE/NASDAQ,Industrials,Construction & Engineering,USD
JNJ.US,Johnson & Johnson,NYSE/NASDAQ,Health Care,Pharmaceuticals,USD
JCI.US,Johnson Controls,NYSE/NASDAQ,Industrials,Building Products,USD
JPM.US,JPMorgan Chase,NYSE/NASDAQ,Financials,Diversified Banks,USD
K.US,Kellanova,NYSE/NASDAQ,Consumer Staples,Packaged Foods & Meats,USD
KVUE.US,Kenvue,NYSE/NASDAQ,Consumer Staples,Personal Care Products,USD
KDP.US,Keurig Dr Pepper,NYSE/NASDAQ,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,USD
KEY.US,KeyCorp,NYSE/NASDAQ,Financials,Regional Banks,USD
KEYS.US,Keysight Technologies,NYSE/NASDAQ,Information Technology,Electronic Equipment & Instruments,USD
KMB.US,Kimberly-Clark,NYSE/NASDAQ,Consumer Staples,Household Products,USD
KIM.US,Kimco Realty,NYSE/NASDAQ,Real Estate,Retail REITs,USD
KMI.US,Kinder Morgan,NYSE/NASDAQ,Energy,Oil & Gas Storage & Transportation,USD
KKR.US,KKR & Co.,NYSE/NASDAQ,Financials,Asset Management & Custody Banks,USD
KLAC.US,KLA Corporation,NYSE/NASDAQ,Information Technology,Semiconductor Materials & Equipment,USD
KHC.US,Kraft Heinz,NYSE/NASDAQ,Consumer Staples,Packaged Foods & Meats,USD
KR.US,Kroger,NYSE/NASDAQ,Consumer Staples,Food Retail,USD
LHX.US,L3Harris,NYSE/NASDAQ,Industrials,Aerospace & Defense,USD
LH.US,Labcorp,NYSE/NASDAQ,Health Care,Health Care Services,USD
LRCX.US,Lam Research,NYSE/NASDAQ,Information Technology,Semiconductor Materials & Equipment,USD
LW.US,Lamb Weston,NYSE/NASDAQ,Consumer Staples,Packaged Foods & Meats,USD
LVS.US,Las Vegas Sands,NYSE/NASDAQ,Consumer Discretionary,Casinos & Gaming,USD
LDOS.US,Leidos,NYSE/NASDAQ,Industrials,Diversified Support Services,USD
LEN.US,Lennar,NYSE/NASDAQ,Consumer Discretionary,Homebuilding,USD
LII.US,Lennox International,NYSE/NASDAQ,Industrials,Building Products,USD
LLY.US,Lilly (Eli),NYSE/NASDAQ,Health Care,Pharmaceuticals,USD
LIN.US,Linde plc,NYSE/NASDAQ,Materials,Industrial Gases,USD
LYV.US,Live Nation Entertainment,NYSE/NASDAQ,Communication Services,Movies & Entertainment,USD
LKQ.US,LKQ Corporation,NYSE/NASDAQ,Consumer Discretionary,Distributors,USD
LMT.US,Lockheed Martin,NYSE/NASDAQ,Industrials,Aerospace & Defense,USD
L.US,Loews Corporation,NYSE/NASDAQ,Financials,Multi-line Insurance,USD
LOW.US,Lowe's,NYSE/NASDAQ,Consumer Discretionary,Home Improvement Retail,USD
LULU.US,Lululemon Athletica,NYSE/NASDAQ,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",USD
LYB.US,LyondellBasell,NYSE/NASDAQ,Materials,Specialty Chemicals,USD
MTB.US,M&T Bank,NYSE/NASDAQ,Financials,Regional Banks,USD
MPC.US,Marathon Petroleum,NYSE/NASDAQ,Energy,Oil & Gas Refining & Marketing,USD
MKTX.US,MarketAxess,NYSE/NASDAQ,Financials,Financial Exchanges & Data,USD
MAR.US,Marriott International,NYSE/NASDAQ,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",USD
MMC.US,Marsh McLennan,NYSE/NASDAQ,Financials,Insurance Brokers,USD
MLM.US,Martin Marietta Materials,NYSE/NASDAQ,Materials,Construction Materials,USD
MAS.US,Masco,NYSE/NASDAQ,Industrials,Building Products,USD
MA.US,Mastercard,NYSE/NASDAQ,Financials,Transaction & Payment Processing Services,USD
MTCH.US,Match Group,NYSE/NASDAQ,Communication Services,Interactive Media & Services,USD
MKC.US,McCormick & Company,NYSE/NASDAQ,Consumer Staples,Packaged Foods & Meats,USD
MCD.US,McDonald's,NYSE/NASDAQ,Consumer Discretionary,Restaurants,USD
MCK.US,McKesson Corporation,NYSE/NASDAQ,Health Care,Health Care Distributors,USD
MDT.US,Medtronic,NYSE/NASDAQ,Health Care,Health Care Equipment,USD
